acronimo;termo;;
Não necessito de meio de transporte para chegar a universidade;A pé ou transporte particular;;
A pé, pois o local onde moro é próximo a faculdade, não necessitando a fazer o uso de algum veículo.;A pé ou transporte particular;;
Transporte próprio;Transporte coletivo (público e/ou privado);;
Pago um carro até o trevo da cidade de Quipapá e de lá pego um ônibus que a prefeitura da cidade de São Benedito disponibiliza para levar os estudantes até as faculdades em Garanhuns!;Transporte coletivo oferecido pela prefeitura;;
Não utilizo transporte;A pé ou transporte particular;;
vou de veículo particular e na volta a pé até o ponto de lotação ;Transporte coletivo (público e/ou privado);;
Bicicleta;A pé ou transporte particular;;
Transporte coletivo;Transporte coletivo (público e/ou privado);;
Transporte público;Transporte coletivo (público e/ou privado);;
Lotação locada apenas com universitários que também estudam em salgueiro. ;Transporte coletivo (público e/ou privado);;
Não utilizo meio de transporte ;A pé ou transporte particular;;
Ônibus da cidade;Transporte coletivo oferecido pela prefeitura;;
Van coletiva;Transporte coletivo (público e/ou privado);;
Vou andando. Não consigo pegar ônibus ;A pé ou transporte particular;;
Mototáxi;A pé ou transporte particular;;
Não necessito de algum meio de transporte;A pé ou transporte particular;;
Não utilizo transporte, vou caminhando. ;A pé ou transporte particular;;
A pe;A pé ou transporte particular;;
Nenhum ;A pé ou transporte particular;;
Van compartilhada com outros alunos;Transporte coletivo (público e/ou privado);;
Sem transporte;A pé ou transporte particular;;
Não uso veículo;A pé ou transporte particular;;
Transporte Alternativo (Vans).;Transporte coletivo (público e/ou privado);;
Vou à pé;A pé ou transporte particular;;
De pé msm;A pé ou transporte particular;;
Van fretada pelos estudantes ;Transporte coletivo (público e/ou privado);;
Pé ;A pé ou transporte particular;;
Transporte fretado divido entre a prefeitura e o aluno.;Transporte coletivo (público e/ou privado);;
Ônibus ;Transporte coletivo (público e/ou privado);;
